player__participant__session__code,player__participant__session_id,player__participant__id_in_session,player__participant__code,letter
pq9oykvd,1,1,vkuvgmqo,H
pq9oykvd,1,1,vkuvgmqo,S
pq9oykvd,1,1,vkuvgmqo,O
pq9oykvd,1,2,qrc0chid,L
pq9oykvd,1,2,qrc0chid,A
pq9oykvd,1,2,qrc0chid,T
pq9oykvd,1,3,3ohz5ey0,L
pq9oykvd,1,3,3ohz5ey0,B
pq9oykvd,1,3,3ohz5ey0,S
uooydyx2,2,1,z3cvgexd,T
uooydyx2,2,1,z3cvgexd,N
uooydyx2,2,1,z3cvgexd,A
uooydyx2,2,2,gfefbu8u,R
uooydyx2,2,2,gfefbu8u,C
uooydyx2,2,2,gfefbu8u,O
uooydyx2,2,3,l39hhlv5,A
uooydyx2,2,3,l39hhlv5,R
uooydyx2,2,3,l39hhlv5,I
wiii46il,3,1,trsz1lsc,A
wiii46il,3,1,trsz1lsc,O
wiii46il,3,1,trsz1lsc,E
wiii46il,3,2,rfh42wiq,I
wiii46il,3,2,rfh42wiq,D
wiii46il,3,2,rfh42wiq,N
wiii46il,3,3,pzy76b8o,E
wiii46il,3,3,pzy76b8o,A
wiii46il,3,3,pzy76b8o,O
wiii46il,3,4,iw66op8a,B
wiii46il,3,4,iw66op8a,C
wiii46il,3,4,iw66op8a,A
wiii46il,3,5,zy368zte,S
wiii46il,3,5,zy368zte,I
wiii46il,3,5,zy368zte,L
wiii46il,3,6,jrco2x2y,E
wiii46il,3,6,jrco2x2y,I
wiii46il,3,6,jrco2x2y,R
wiii46il,3,7,h44nmje7,I
wiii46il,3,7,h44nmje7,L
wiii46il,3,7,h44nmje7,T
wiii46il,3,8,b9ntuqpj,E
wiii46il,3,8,b9ntuqpj,S
wiii46il,3,8,b9ntuqpj,G
wiii46il,3,9,w28iveja,L
wiii46il,3,9,w28iveja,I
wiii46il,3,9,w28iveja,A
wiii46il,3,10,hlv31vx9,G
wiii46il,3,10,hlv31vx9,Q
wiii46il,3,10,hlv31vx9,D
z2k3fzsj,4,1,b5tametb,A
z2k3fzsj,4,1,b5tametb,T
z2k3fzsj,4,1,b5tametb,O
z2k3fzsj,4,2,vblustgp,O
z2k3fzsj,4,2,vblustgp,A
z2k3fzsj,4,2,vblustgp,S
z2k3fzsj,4,3,dzyflhf8,O
z2k3fzsj,4,3,dzyflhf8,R
z2k3fzsj,4,3,dzyflhf8,E
ovhybbdp,5,1,ywvy32sd,M
ovhybbdp,5,1,ywvy32sd,P
ovhybbdp,5,1,ywvy32sd,B
ovhybbdp,5,2,4l39v9qo,T
ovhybbdp,5,2,4l39v9qo,R
ovhybbdp,5,2,4l39v9qo,S
ovhybbdp,5,3,4mbjihf2,T
ovhybbdp,5,3,4mbjihf2,H
ovhybbdp,5,3,4mbjihf2,E
vhmb74qv,6,1,c28394f5,N
vhmb74qv,6,1,c28394f5,E
vhmb74qv,6,1,c28394f5,A
vhmb74qv,6,2,wew8y6d5,D
vhmb74qv,6,2,wew8y6d5,T
vhmb74qv,6,2,wew8y6d5,R
vhmb74qv,6,3,j90n3wk9,I
vhmb74qv,6,3,j90n3wk9,E
vhmb74qv,6,3,j90n3wk9,C
vhmb74qv,6,4,wvc2awm0,Y
vhmb74qv,6,4,wvc2awm0,C
vhmb74qv,6,4,wvc2awm0,O
vhmb74qv,6,5,6n7bpiu9,A
vhmb74qv,6,5,6n7bpiu9,N
vhmb74qv,6,5,6n7bpiu9,I
vhmb74qv,6,6,ue95nr3s,B
vhmb74qv,6,6,ue95nr3s,T
vhmb74qv,6,6,ue95nr3s,W
vhmb74qv,6,7,57otk8n2,A
vhmb74qv,6,7,57otk8n2,N
vhmb74qv,6,7,57otk8n2,R
vhmb74qv,6,8,efs6kpyg,I
vhmb74qv,6,8,efs6kpyg,E
vhmb74qv,6,8,efs6kpyg,N
vhmb74qv,6,9,f8iqyh17,L
vhmb74qv,6,9,f8iqyh17,N
vhmb74qv,6,9,f8iqyh17,I
vhmb74qv,6,10,mmp3a2oi,Q
vhmb74qv,6,10,mmp3a2oi,S
vhmb74qv,6,10,mmp3a2oi,N
5ydhsfg6,7,1,rqyhp29i,E
5ydhsfg6,7,1,rqyhp29i,N
5ydhsfg6,7,1,rqyhp29i,M
5ydhsfg6,7,2,pa7k4f93,O
5ydhsfg6,7,2,pa7k4f93,I
5ydhsfg6,7,2,pa7k4f93,A
5ydhsfg6,7,3,ifskzaiy,G
5ydhsfg6,7,3,ifskzaiy,R
5ydhsfg6,7,3,ifskzaiy,I
5ydhsfg6,7,4,f0hsq81m,O
5ydhsfg6,7,4,f0hsq81m,A
5ydhsfg6,7,4,f0hsq81m,B
5ydhsfg6,7,5,skya5ojd,U
5ydhsfg6,7,5,skya5ojd,T
5ydhsfg6,7,5,skya5ojd,Y
5ydhsfg6,7,6,p4f3glnm,H
5ydhsfg6,7,6,p4f3glnm,N
5ydhsfg6,7,6,p4f3glnm,O
5ydhsfg6,7,7,ku7sgxda,A
5ydhsfg6,7,7,ku7sgxda,G
5ydhsfg6,7,7,ku7sgxda,R
5ydhsfg6,7,8,9d6txfsy,R
5ydhsfg6,7,8,9d6txfsy,I
5ydhsfg6,7,8,9d6txfsy,D
5ydhsfg6,7,9,bk4ieibh,R
5ydhsfg6,7,9,bk4ieibh,O
5ydhsfg6,7,9,bk4ieibh,S
5ydhsfg6,7,10,d8t8c8gp,E
5ydhsfg6,7,10,d8t8c8gp,T
5ydhsfg6,7,10,d8t8c8gp,A
5ydhsfg6,7,11,fxgey8o1,C
5ydhsfg6,7,11,fxgey8o1,A
5ydhsfg6,7,11,fxgey8o1,S
5ydhsfg6,7,12,7liogqhr,O
5ydhsfg6,7,12,7liogqhr,I
5ydhsfg6,7,12,7liogqhr,U
5ydhsfg6,7,13,bfq1yuvb,O
5ydhsfg6,7,13,bfq1yuvb,I
5ydhsfg6,7,13,bfq1yuvb,A
5ydhsfg6,7,14,wgz1bsk5,S
5ydhsfg6,7,14,wgz1bsk5,O
5ydhsfg6,7,14,wgz1bsk5,T
5ydhsfg6,7,15,pnbq14y0,S
5ydhsfg6,7,15,pnbq14y0,E
5ydhsfg6,7,15,pnbq14y0,N
5ydhsfg6,7,16,dno1o4zu,T
5ydhsfg6,7,16,dno1o4zu,I
5ydhsfg6,7,16,dno1o4zu,O
5ydhsfg6,7,17,wnhthjuq,T
5ydhsfg6,7,17,wnhthjuq,R
5ydhsfg6,7,17,wnhthjuq,I
5ydhsfg6,7,18,veenrge9,O
5ydhsfg6,7,18,veenrge9,G
5ydhsfg6,7,18,veenrge9,U
5ydhsfg6,7,19,m97bh2zq,N
5ydhsfg6,7,19,m97bh2zq,T
5ydhsfg6,7,19,m97bh2zq,C
5ydhsfg6,7,20,cn7r440z,T
5ydhsfg6,7,20,cn7r440z,A
5ydhsfg6,7,20,cn7r440z,M
gbwspag3,8,1,g8tonyl5,G
gbwspag3,8,1,g8tonyl5,P
gbwspag3,8,1,g8tonyl5,D
gbwspag3,8,2,wrx1fizh,R
gbwspag3,8,2,wrx1fizh,C
gbwspag3,8,2,wrx1fizh,T
gbwspag3,8,3,pxvjdff7,S
gbwspag3,8,3,pxvjdff7,O
gbwspag3,8,3,pxvjdff7,L
gbwspag3,8,4,9kbfxoqe,P
gbwspag3,8,4,9kbfxoqe,A
gbwspag3,8,4,9kbfxoqe,R
gbwspag3,8,5,trb9jlu8,A
gbwspag3,8,5,trb9jlu8,P
gbwspag3,8,5,trb9jlu8,T
gbwspag3,8,6,kniyfuea,C
gbwspag3,8,6,kniyfuea,S
gbwspag3,8,6,kniyfuea,B
gbwspag3,8,7,56h0qqeu,B
gbwspag3,8,7,56h0qqeu,D
gbwspag3,8,7,56h0qqeu,I
gbwspag3,8,8,6p6butrq,V
gbwspag3,8,8,6p6butrq,O
gbwspag3,8,8,6p6butrq,L
gbwspag3,8,9,ijio04iq,G
gbwspag3,8,9,ijio04iq,U
gbwspag3,8,9,ijio04iq,T
gbwspag3,8,10,j19y2rbh,U
gbwspag3,8,10,j19y2rbh,S
gbwspag3,8,10,j19y2rbh,T
gbwspag3,8,11,eq97451g,O
gbwspag3,8,11,eq97451g,E
gbwspag3,8,11,eq97451g,G
gbwspag3,8,12,eghpl7h1,U
gbwspag3,8,12,eghpl7h1,T
gbwspag3,8,12,eghpl7h1,Y
gbwspag3,8,13,bs18kjig,T
gbwspag3,8,13,bs18kjig,I
gbwspag3,8,13,bs18kjig,A
gbwspag3,8,14,qluq4hqw,I
gbwspag3,8,14,qluq4hqw,R
gbwspag3,8,14,qluq4hqw,S
gbwspag3,8,15,rfta25kx,E
gbwspag3,8,15,rfta25kx,O
gbwspag3,8,15,rfta25kx,G
gbwspag3,8,16,4nowrnjp,T
gbwspag3,8,16,4nowrnjp,C
gbwspag3,8,16,4nowrnjp,N
gbwspag3,8,17,9joak3tz,A
gbwspag3,8,17,9joak3tz,T
gbwspag3,8,17,9joak3tz,S
gbwspag3,8,18,39r56fyf,A
gbwspag3,8,18,39r56fyf,I
gbwspag3,8,18,39r56fyf,C
gbwspag3,8,19,mhv31zkj,A
gbwspag3,8,19,mhv31zkj,T
gbwspag3,8,19,mhv31zkj,R
gbwspag3,8,20,gjqrn6oy,A
gbwspag3,8,20,gjqrn6oy,E
gbwspag3,8,20,gjqrn6oy,S
973hz778,9,1,3dyajywa,L
973hz778,9,1,3dyajywa,I
973hz778,9,1,3dyajywa,E
973hz778,9,2,0frwrg1y,Y
973hz778,9,2,0frwrg1y,E
973hz778,9,2,0frwrg1y,S
973hz778,9,3,4qwbduk6,Z
973hz778,9,3,4qwbduk6,I
973hz778,9,3,4qwbduk6,O
wgowd92m,10,1,m59q6w4p,E
wgowd92m,10,1,m59q6w4p,I
wgowd92m,10,1,m59q6w4p,A
wgowd92m,10,2,7bqy648d,E
wgowd92m,10,2,7bqy648d,I
wgowd92m,10,2,7bqy648d,N
wgowd92m,10,3,iilg3rfw,O
wgowd92m,10,3,iilg3rfw,M
wgowd92m,10,3,iilg3rfw,E
g6jvaqxh,11,1,3nxb2ujd,N
g6jvaqxh,11,1,3nxb2ujd,M
g6jvaqxh,11,1,3nxb2ujd,S
g6jvaqxh,11,2,sk5g6o95,N
g6jvaqxh,11,2,sk5g6o95,L
g6jvaqxh,11,2,sk5g6o95,R
g6jvaqxh,11,3,7angesy9,A
g6jvaqxh,11,3,7angesy9,V
g6jvaqxh,11,3,7angesy9,R
